symbol,window_index,p99_upper,p95_upper,p90_upper,placebo_mean,p90_lower,p95_lower,p99_lower,n,actual_median_abs_price_change
DFII10,-15,0,0,0,0,0,0,0,5000,0
DFII10,-14,0.05499999999999994,0.050000000000000044,0.04999999999999982,0.033519000000000014,0.020000000000000018,0.020000000000000018,0.020000000000000018,5000,0.02000000000000001
DFII10,-13,0.07999999999999985,0.07000000000000006,0.06999999999999984,0.048489000000000004,0.030000000000000138,0.030000000000000027,0.029999999999999805,5000,0.04000000000000003
DFII10,-12,0.08999999999999986,0.08000000000000007,0.07500000000000007,0.055288000000000025,0.040000000000000036,0.03500000000000003,0.030000000000000027,5000,0.05000000000000004
DFII10,-11,0.10002500000000064,0.0900000000000003,0.09000000000000008,0.06586800000000002,0.04500000000000015,0.040000000000000036,0.03500000000000003,5000,0.04000000000000003
DFII10,-10,0.11502500000000064,0.10499999999999998,0.10000000000000009,0.07378500000000003,0.050000000000000044,0.04500000000000004,0.040000000000000036,5000,0.05000000000000026
DFII10,-9,0.1200000000000001,0.1100000000000001,0.10999999999999976,0.07665800000000003,0.050000000000000044,0.04999999999999993,0.040000000000000036,5000,0.06999999999999984
DFII10,-8,0.13000000000000012,0.1200000000000001,0.1100000000000001,0.08364200000000004,0.06000000000000005,0.05500000000000005,0.04500000000000004,5000,0.08999999999999986
DFII10,-7,0.13500000000000012,0.1250000000000001,0.1200000000000001,0.09098900000000003,0.06000000000000005,0.05999999999999994,0.050000000000000044,5000,0.09999999999999988
DFII10,-6,0.15000000000000024,0.1399999999999999,0.13000000000000012,0.0981,0.06500000000000017,0.06000000000000005,0.050000000000000044,5000,0.08000000000000007
DFII10,-5,0.15500000000000014,0.14500000000000002,0.14,0.10394500000000001,0.07000000000000006,0.06500000000000006,0.06000000000000005,5000,0.08999999999999986
DFII10,-4,0.16999999999999993,0.15499999999999992,0.1499999999999999,0.10832200000000002,0.07000000000000006,0.06499999999999995,0.05500000000000005,5000,0.07999999999999963
DFII10,-3,0.17500000000000016,0.16000000000000014,0.15000000000000013,0.114013,0.07999999999999985,0.07000000000000006,0.06000000000000005,5000,0.10000000000000007
DFII10,-2,0.18000000000000016,0.16499999999999992,0.15999999999999992,0.11616100000000001,0.08000000000000007,0.07499999999999996,0.06000000000000005,5000,0.11000000000000032
DFII10,-1,0.19000000000000017,0.16999999999999993,0.15999999999999992,0.11938800000000002,0.08500000000000008,0.07999999999999996,0.060000000000000164,5000,0.13000000000000012
DFII10,0,0.19000000000000017,0.17499999999999993,0.16999999999999993,0.12396200000000002,0.08499999999999996,0.08000000000000007,0.06999999999999984,5000,0.14000000000000012
DFII10,1,0.19999999999999996,0.18000000000000005,0.17499999999999993,0.131397,0.08999999999999997,0.08000000000000007,0.06999999999999995,5000,0.1299999999999999
DFII10,2,0.20999999999999996,0.18999999999999995,0.17999999999999994,0.13251100000000002,0.09000000000000008,0.08500000000000008,0.07500000000000007,5000,0.14000000000000012
DFII10,3,0.21000000000000008,0.19012499999999832,0.18500000000000005,0.13653800000000002,0.0900000000000003,0.08500000000000008,0.07000000000000006,5000,0.14500000000000002
DFII10,4,0.22499999999999998,0.20000000000000018,0.19000000000000006,0.13834100000000002,0.09499999999999997,0.08999999999999997,0.07997499999999987,5000,0.1299999999999999
DFII10,5,0.22502500000000064,0.20999999999999974,0.18999999999999995,0.14283900000000002,0.09999999999999987,0.09000000000000008,0.07499999999999996,5000,0.1200000000000001
DFII10,6,0.22499999999999987,0.20000000000000018,0.18999999999999995,0.14402700000000002,0.10000000000000009,0.0900000000000003,0.08000000000000007,5000,0.1499999999999999
DFII10,7,0.22999999999999998,0.20999999999999996,0.19999999999999996,0.144205,0.09999999999999987,0.09000000000000008,0.07999999999999985,5000,0.14500000000000002
