symbol,window_index,p99_upper,p95_upper,p90_upper,placebo_mean,p90_lower,p95_lower,p99_lower,n,actual_median_price_change
DFII10,-15,0,0,0,0,0,0,0,5000,0
DFII10,-14,0.029999999999999916,0.020000000000000018,0.020000000000000018,-8.839999999999944e-4,-0.020000000000000018,-0.025000000000000022,-0.030000000000000027,5000,0.01
DFII10,-13,0.040000000000000036,0.03000000000000025,0.029999999999999805,1.9299999999999992e-4,-0.029999999999999916,-0.030000000000000027,-0.040000000000000036,5000,0.01
DFII10,-12,0.04999999999999982,0.03500000000000003,0.030000000000000027,5.769999999999964e-4,-0.030000000000000027,-0.040000000000000036,-0.050000000000000044,5000,0.03000000000000002
DFII10,-11,0.05499999999999994,0.04500000000000004,0.040000000000000036,0.003072999999999996,-0.03499999999999992,-0.040000000000000036,-0.06000000000000005,5000,-0.02000000000000001
DFII10,-10,0.06999999999999984,0.050000000000000044,0.04499999999999993,0.004629999999999998,-0.03500000000000003,-0.04499999999999993,-0.06000000000000005,5000,-0.02000000000000001
DFII10,-9,0.06999999999999984,0.050000000000000044,0.04999999999999982,0.0036730000000000044,-0.044999999999999825,-0.050000000000000044,-0.06500000000000006,5000,0
DFII10,-8,0.07499999999999984,0.06000000000000005,0.050000000000000044,7.799999999999994e-4,-0.04499999999999993,-0.05500000000000005,-0.07000000000000017,5000,0.04000000000000003
DFII10,-7,0.08000000000000007,0.06499999999999995,0.050000000000000155,-0.0010340000000000006,-0.05499999999999994,-0.06000000000000005,-0.08000000000000007,5000,0
DFII10,-6,0.09000000000000008,0.06499999999999984,0.05500000000000005,-1.1599999999999801e-4,-0.05500000000000016,-0.06999999999999984,-0.08000000000000007,5000,-0.04000000000000003
DFII10,-5,0.09499999999999986,0.07499999999999996,0.06000000000000005,0.0015680000000000043,-0.06000000000000005,-0.06999999999999984,-0.08999999999999986,5000,0.02000000000000001
DFII10,-4,0.09999999999999998,0.07999999999999996,0.06000000000000005,0.0021100000000000116,-0.05500000000000005,-0.06999999999999984,-0.09000000000000008,5000,0.04000000000000003
DFII10,-3,0.09999999999999998,0.07999999999999996,0.06500000000000006,0.003542000000000009,-0.05999999999999994,-0.06999999999999984,-0.09002500000000019,5000,0.02000000000000001
DFII10,-2,0.10499999999999987,0.08499999999999985,0.07000000000000006,0.002356000000000015,-0.06500000000000006,-0.07999999999999985,-0.09500000000000008,5000,-0.08000000000000007
