symbol,window_index,median_price_change,median_abs_price_change
DFII10,-15,0,0
DFII10,-14,0.01000000000000012,0.025000000000000022
DFII10,-13,0.01000000000000012,0.040000000000000036
DFII10,-12,0.020000000000000018,0.040000000000000036
DFII10,-11,-0.020000000000000018,0.040000000000000036
DFII10,-10,-0.029999999999999805,0.050000000000000044
DFII10,-9,0,0.04999999999999993
DFII10,-8,0.040000000000000036,0.08000000000000007
DFII10,-7,-0.040000000000000036,0.10000000000000009
DFII10,-6,-0.040000000000000036,0.07999999999999996
DFII10,-5,-0.015000000000000013,0.08999999999999997
DFII10,-4,0.020000000000000018,0.11999999999999988
DFII10,-3,0.0050000000000000044,0.12499999999999989
DFII10,-2,-0.08500000000000008,0.11499999999999988
DFII10,-1,-0.060000000000000164,0.13500000000000012
DFII10,0,-0.07999999999999996,0.1399999999999999
DFII10,1,-0.08499999999999996,0.1449999999999999
DFII10,2,-0.10999999999999999,0.15000000000000002
DFII10,3,-0.13000000000000012,0.14000000000000012
DFII10,4,-0.10999999999999988,0.1449999999999999
DFII10,5,-0.08999999999999986,0.13500000000000023
DFII10,6,-0.06999999999999995,0.17999999999999994
DFII10,7,-0.09999999999999987,0.16500000000000026
DFII10,8,-0.06499999999999995,0.20000000000000007
DFII10,9,-0.08500000000000008,0.17500000000000004
DFII10,10,-0.060000000000000164,0.21499999999999997
DFII10,11,-0.08000000000000018,0.21999999999999997
DFII10,12,-0.07000000000000006,0.19000000000000017
DFII10,13,-0.04499999999999993,0.20999999999999996
DFII10,14,-0.07000000000000006,0.20500000000000007
DFII10,15,-0.07499999999999996,0.19999999999999996
DFII20,-15,0,0
DFII20,-14,0.0050000000000001155,0.029999999999999916
DFII20,-13,0.0050000000000000044,0.04500000000000004
DFII20,-12,0.010000000000000009,0.03500000000000003
DFII20,-11,-0.03499999999999992,0.040000000000000036
DFII20,-10,-0.03499999999999992,0.040000000000000036
DFII20,-9,-0.004999999999999893,0.060000000000000164
DFII20,-8,0.014999999999999902,0.06499999999999995
DFII20,-7,-0.04999999999999993,0.10000000000000009
DFII20,-6,-0.05999999999999983,0.07499999999999996
DFII20,-5,-0.030000000000000027,0.08499999999999996
DFII20,-4,0.015000000000000013,0.07999999999999974
DFII20,-3,0,0.125
DFII20,-2,-0.08000000000000018,0.11499999999999988
DFII20,-1,-0.06999999999999984,0.135
DFII20,0,-0.07999999999999963,0.12
DFII20,1,-0.08999999999999964,0.1499999999999999
DFII20,2,-0.12499999999999989,0.1449999999999999
DFII20,3,-0.1299999999999999,0.15500000000000003
DFII20,4,-0.11499999999999988,0.1299999999999999
DFII20,5,-0.09499999999999975,0.11499999999999977
DFII20,6,-0.08499999999999974,0.1499999999999999
DFII20,7,-0.09499999999999997,0.16500000000000004
DFII20,8,-0.08499999999999996,0.17999999999999983
DFII20,9,-0.10999999999999988,0.13000000000000012
DFII20,10,-0.07999999999999985,0.17000000000000015
DFII20,11,-0.07999999999999996,0.17500000000000004
DFII20,12,-0.10999999999999999,0.17000000000000015
DFII20,13,-0.08999999999999997,0.18499999999999994
DFII20,14,-0.09999999999999987,0.19499999999999995
DFII20,15,-0.07999999999999996,0.21999999999999986
DFII30,-15,0,0
DFII30,-14,0.010000000000000009,0.02499999999999991
DFII30,-13,2.220446049250313e-16,0.04500000000000004
DFII30,-12,0.004999999999999893,0.030000000000000027
DFII30,-11,-0.025000000000000133,0.040000000000000036
DFII30,-10,-0.029999999999999916,0.039999999999999813
DFII30,-9,-0.004999999999999893,0.06000000000000005
DFII30,-8,-2.220446049250313e-16,0.060000000000000164
DFII30,-7,-0.05500000000000005,0.1100000000000001
DFII30,-6,-0.05499999999999994,0.06999999999999984
DFII30,-5,-0.04500000000000004,0.08000000000000007
DFII30,-4,0.0050000000000000044,0.07500000000000007
DFII30,-3,-0.004999999999999893,0.11499999999999999
DFII30,-2,-0.06500000000000017,0.10000000000000009
DFII30,-1,-0.07499999999999996,0.125
DFII30,0,-0.08000000000000007,0.1050000000000001
DFII30,1,-0.0950000000000002,0.15500000000000003
DFII30,2,-0.1200000000000001,0.1349999999999998
DFII30,3,-0.11500000000000021,0.13000000000000012
DFII30,4,-0.09000000000000008,0.10999999999999988
DFII30,5,-0.08000000000000007,0.0950000000000002
DFII30,6,-0.0950000000000002,0.1399999999999999
DFII30,7,-0.09499999999999975,0.16500000000000015
DFII30,8,-0.09000000000000008,0.15000000000000013
DFII30,9,-0.050000000000000044,0.125
DFII30,10,-0.07500000000000018,0.14500000000000002
DFII30,11,-0.07500000000000018,0.14500000000000002
DFII30,12,-0.1150000000000001,0.1449999999999998
DFII30,13,-0.11500000000000021,0.16000000000000014
DFII30,14,-0.1050000000000002,0.17000000000000015
DFII30,15,-0.08500000000000019,0.19000000000000017
DFII5,-15,0,0
DFII5,-14,0.015000000000000013,0.02499999999999991
DFII5,-13,0.020000000000000018,0.03499999999999992
DFII5,-12,0.03500000000000014,0.06500000000000006
DFII5,-11,0.010000000000000009,0.05500000000000005
DFII5,-10,0.0050000000000000044,0.04499999999999993
DFII5,-9,0.025000000000000022,0.07999999999999996
DFII5,-8,0.04499999999999993,0.08999999999999986
DFII5,-7,-0.019999999999999907,0.09499999999999997
DFII5,-6,-0.02499999999999991,0.08500000000000008
DFII5,-5,-0.020000000000000018,0.10499999999999998
DFII5,-4,-0.010000000000000009,0.13000000000000012
DFII5,-3,-1.1102230246251565e-16,0.1299999999999999
DFII5,-2,-0.06000000000000005,0.1050000000000001
DFII5,-1,-0.09000000000000008,0.14
